t_us,ch1,ch2,ch3,ch4,pc_time,label
367448162,1362,793,979,1190,1770289238.418266,center
367452162,1356,845,1040,1207,1770289238.422376,center
367456163,1409,911,1119,1291,1770289238.4263182,center
367460164,1441,900,1119,1307,1770289238.4303901,center
367464162,1353,784,971,1181,1770289238.4343219,center
367468162,1347,848,1047,1204,1770289238.438365,center
367472163,1401,902,1118,1285,1770289238.4424691,center
367476163,1448,910,1131,1318,1770289238.446464,center
367480164,1372,789,978,1193,1770289238.450355,center
367484164,1362,846,1041,1210,1770289238.4544508,center
367488162,1396,891,1109,1270,1770289238.4585652,center
367492163,1457,917,1132,1315,1770289238.4625778,center
367496163,1394,815,1009,1221,1770289238.466482,center
367500164,1371,839,1029,1209,1770289238.4705012,center
367504162,1389,879,1089,1252,1770289238.4745631,center
367508162,1450,921,1137,1316,1770289238.478564,center
367512163,1414,838,1037,1232,1770289238.482574,center
367516163,1371,826,1016,1197,1770289238.486583,center
367520164,1369,863,1067,1226,1770289238.490585,center
367524162,1435,924,1139,1310,1770289238.494596,center
367528162,1420,853,1067,1253,1770289238.498477,center
367532163,1364,810,997,1196,1770289238.502393,center
367536163,1359,853,1056,1219,1770289238.506529,center
367540164,1435,931,1148,1317,1770289238.510582,center
367544162,1436,870,1090,1281,1770289238.514543,center
367548162,1356,797,984,1185,1770289238.518396,center
367552163,1348,847,1042,1206,1770289238.522542,center
367556163,1407,916,1128,1297,1770289238.526576,center
367560164,1438,894,1118,1307,1770289238.53057,center
367564162,1359,791,975,1185,1770289238.534456,center
367568162,1350,846,1040,1205,1770289238.538581,center
367572163,1404,905,1121,1288,1770289238.542662,center
367576163,1444,906,1127,1315,1770289238.546646,center
367580164,1355,781,962,1175,1770289238.550563,center
367584162,1353,853,1054,1210,1770289238.554662,center
367588162,1399,896,1111,1278,1770289238.558665,center
367592163,1456,914,1129,1315,1770289238.562651,center
367596164,1384,806,995,1209,1770289238.56658,center
367600164,1368,845,1034,1207,1770289238.570671,center
367604162,1391,883,1098,1257,1770289238.5746508,center
367608162,1450,918,1135,1313,1770289238.578691,center
367612163,1406,830,1026,1230,1770289238.5826838,center
367616164,1375,834,1026,1203,1770289238.586676,center
367620162,1382,869,1077,1240,1770289238.590671,center
367624162,1445,924,1137,1313,1770289238.594702,center
367628163,1423,848,1059,1248,1770289238.598645,center
367632164,1371,819,1012,1203,1770289238.602711,center
367636164,1369,857,1062,1225,1770289238.606689,center
367640162,1441,929,1146,1318,1770289238.610728,center
